host_is_superhost,city,country,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count
t,Knox,Australia,-37.87951275,145.2307265,Shared room,2,1.0,1.0,1.0,62,4,2,90.0,t,3
f,Whitehorse,Australia,-37.80285391,145.1145882,Entire home/apt,6,1.0,3.0,4.0,184,2,41,89.0,t,1
t,Bayside,Australia,-37.93946465,145.0193491,Entire home/apt,8,2.0,3.0,4.0,152,3,13,98.0,t,3
f,Yarra,Australia,-37.80588471,144.9797179,Entire home/apt,2,1.0,0.0,1.0,150,3,3,100.0,t,1
f,Melbourne,Australia,-37.81561109,144.953676,Entire home/apt,9,2.0,3.0,6.0,239,1,87,90.0,t,40
f,Wyndham,Australia,-37.88967693,144.7627776,Private room,4,1.0,2.0,2.0,100,1,19,96.0,f,1
f,Melbourne,Australia,-37.81609517,144.9528909,Entire home/apt,6,1.0,2.0,3.0,150,1,22,95.0,t,98
f,Frankston,Australia,-38.13651188,145.1241916,Entire home/apt,2,1.0,1.0,1.0,210,1,5,85.0,f,3
t,Yarra,Australia,-37.80545025,144.9791703,Entire home/apt,2,1.0,1.0,1.0,109,1,261,96.0,t,1
f,Melbourne,Australia,-37.83667368,144.9849783,Entire home/apt,2,1.0,2.0,1.0,100,2,76,92.0,f,1
f,Moreland,Australia,-37.75180893,144.9615906,Entire home/apt,2,1.5,2.0,1.0,96,4,3,93.0,f,1
f,Melbourne,Australia,-37.81064548,144.986789,Entire home/apt,4,2.0,2.0,2.0,220,4,25,98.0,f,1
f,Moonee Valley,Australia,-37.7620584,144.9306892,Entire home/apt,2,1.5,1.0,1.0,109,1,1,60.0,t,4
f,Port Phillip,Australia,-37.8591615,144.972191,Entire home/apt,2,1.0,0.0,1.0,100,2,39,95.0,f,1
f,Melbourne,Australia,-37.81939354,144.9436008,Entire home/apt,5,2.0,2.0,2.0,199,1,3,93.0,t,1
t,Yarra,Australia,-37.81561098,145.0018156,Entire home/apt,7,2.0,4.0,5.0,400,3,13,98.0,t,1
f,Port Phillip,Australia,-37.83603992,144.9738376,Private room,2,1.0,1.0,1.0,50,2,22,87.0,t,3
f,Nillumbik,Australia,-37.6966704,145.2223529,Entire home/apt,8,1.0,2.0,3.0,190,1,116,93.0,t,1
f,Darebin,Australia,-37.76510799,145.0104618,Entire home/apt,4,1.0,3.0,3.0,109,1,2,100.0,t,1
f,Stonnington,Australia,-37.84696445,144.9894029,Entire home/apt,4,1.0,2.0,2.0,145,2,1,100.0,f,1
f,Yarra Ranges,Australia,-37.72401676,145.5190364,Private room,2,1.0,1.0,1.0,285,2,2,100.0,f,2
f,Melbourne,Australia,-37.81466042,144.9534026,Entire home/apt,6,1.0,2.0,2.0,168,1,61,89.0,t,5
f,Melbourne,Australia,-37.8013255,144.9484985,Entire home/apt,4,1.0,2.0,2.0,154,2,19,91.0,f,1
t,Yarra,Australia,-37.81780816,145.0044459,Entire home/apt,4,1.0,2.0,2.0,150,2,18,100.0,t,1
f,Melbourne,Australia,-37.80882626,144.9662915,Private room,2,1.0,1.0,1.0,71,1,11,93.0,t,1
f,Melbourne,Australia,-37.82757663,144.9600097,Private room,1,1.0,1.0,1.0,55,7,2,100.0,t,1
t,Port Phillip,Australia,-37.85906716,144.9768588,Private room,2,1.0,1.0,1.0,53,2,28,98.0,f,1
t,Cardinia,Australia,-38.01554436,145.3862299,Entire home/apt,4,1.0,2.0,3.0,120,2,63,97.0,t,2
t,Yarra Ranges,Australia,-37.75459798,145.6926102,Entire home/apt,4,1.0,2.0,2.0,251,2,34,96.0,f,2
t,Glen Eira,Australia,-37.91417509,145.0649888,Private room,2,1.0,1.0,1.0,75,1,20,94.0,f,2
f,Port Phillip,Australia,-37.83054548,144.9505125,Entire home/apt,5,2.0,2.0,2.0,161,1,13,80.0,t,50
t,Melbourne,Australia,-37.82597551,144.9586351,Entire home/apt,4,1.0,2.0,2.0,120,1,12,98.0,f,4
f,Melbourne,Australia,-37.8155385,144.9549004,Entire home/apt,6,1.0,1.0,3.0,119,1,18,91.0,t,21
f,Melbourne,Australia,-37.79804079,144.9739555,Private room,2,1.0,1.0,1.0,66,3,1,100.0,t,17
f,Yarra,Australia,-37.78434909,144.9797507,Entire home/apt,2,1.0,1.0,1.0,73,1,6,100.0,f,1
t,Melbourne,Australia,-37.80838276,144.9597421,Entire home/apt,5,1.0,2.0,2.0,109,2,21,99.0,t,5
f,Maribyrnong,Australia,-37.78264724,144.8945348,Private room,2,1.0,1.0,1.0,60,3,3,100.0,t,1
f,Melbourne,Australia,-37.82256709,144.9631581,Entire home/apt,6,2.0,2.0,3.0,300,1,1,60.0,t,2
t,Yarra Ranges,Australia,-37.86182316,145.3536978,Entire home/apt,2,1.0,1.0,1.0,130,2,91,99.0,f,2
f,Cardinia,Australia,-38.06105957,145.4023953,Private room,1,1.0,1.0,1.0,40,1,4,100.0,f,3
f,Moonee Valley,Australia,-37.77662789,144.9224546,Entire home/apt,4,1.0,2.0,2.0,125,2,80,94.0,f,1
f,Maroondah,Australia,-37.8153994,145.23221,Private room,1,1.0,1.0,1.0,28,31,1,100.0,t,1
t,Melbourne,Australia,-37.81395646,144.9601859,Entire home/apt,4,1.0,1.0,1.0,150,2,63,96.0,f,1
f,Melbourne,Australia,-37.81268401,144.9680832,Entire home/apt,4,1.0,2.0,2.0,170,1,39,86.0,t,1
f,Whitehorse,Australia,-37.8220312,145.1154922,Private room,2,1.0,1.0,1.0,75,3,27,92.0,t,3
f,Monash,Australia,-37.86874712,145.1718849,Private room,1,1.5,1.0,1.0,40,1,3,100.0,f,2
f,Melbourne,Australia,-37.81395757,144.9484311,Entire home/apt,5,2.0,2.0,2.0,226,1,19,91.0,t,36
f,Stonnington,Australia,-37.84521902,144.9949166,Entire home/apt,2,1.0,0.0,1.0,120,2,2,100.0,t,62
f,Bayside,Australia,-37.95386396,145.0098736,Private room,2,1.0,0.0,1.0,109,2,11,95.0,t,1
f,Darebin,Australia,-37.7612255,145.0035658,Entire home/apt,4,1.0,1.0,1.0,84,5,3,90.0,f,1
f,Boroondara,Australia,-37.8138421,145.0195343,Entire home/apt,2,1.0,1.0,1.0,65,2,2,60.0,f,2
t,Nillumbik,Australia,-37.67854434,145.166333,Private room,2,1.0,1.0,1.0,55,1,38,98.0,f,1
t,Yarra,Australia,-37.80444603,144.9805607,Private room,2,1.0,1.0,2.0,84,2,51,94.0,f,3
f,Port Phillip,Australia,-37.86356582,145.003433,Entire home/apt,2,1.0,1.0,1.0,120,3,2,100.0,t,1
f,Melbourne,Australia,-37.82347641,144.9624518,Entire home/apt,2,1.0,1.0,1.0,96,1,1,100.0,f,1
f,Stonnington,Australia,-37.84582014,145.0034379,Private room,2,1.0,1.0,1.0,37,7,15,91.0,f,5
f,Melbourne,Australia,-37.81452217,144.9549961,Entire home/apt,4,1.0,1.0,2.0,119,1,26,94.0,t,98
t,Moreland,Australia,-37.71003134,144.9515697,Entire home/apt,5,2.0,2.0,5.0,78,4,14,93.0,f,1
f,Yarra,Australia,-37.82014556,144.9957754,Entire home/apt,6,3.5,3.0,3.0,550,2,69,96.0,t,1
f,Melbourne,Australia,-37.81664312,144.9701511,Entire home/apt,4,1.0,1.0,2.0,119,1,238,91.0,t,98
f,Banyule,Australia,-37.75766345,145.0519912,Private room,1,1.0,1.0,1.0,53,1,2,70.0,t,3
t,Monash,Australia,-37.87005798,145.1655979,Private room,2,1.0,1.0,1.0,60,3,3,87.0,f,4
f,Melbourne,Australia,-37.81997846,144.9434684,Entire home/apt,4,1.0,1.0,3.0,100,1,74,89.0,t,2
f,Kingston,Australia,-38.04173389,145.1178173,Entire home/apt,10,2.0,4.0,7.0,181,3,2,100.0,t,1
f,Port Phillip,Australia,-37.84371473,144.9425896,Entire home/apt,2,1.0,1.0,1.0,159,4,8,97.0,f,23
f,Maribyrnong,Australia,-37.81511425,144.8711027,Entire home/apt,2,1.0,1.0,2.0,55,2,32,90.0,f,1
f,Port Phillip,Australia,-37.86080119,145.0071677,Entire home/apt,2,1.0,1.0,1.0,130,2,2,100.0,f,1
t,Melbourne,Australia,-37.78731228,144.9206169,Private room,2,1.0,1.0,1.0,159,1,6,97.0,t,4
f,Hume,Australia,-37.69803322,144.8894414,Entire home/apt,2,2.0,1.0,1.0,71,7,9,98.0,f,1
f,Melbourne,Australia,-37.81064855,144.9499119,Entire home/apt,3,1.0,1.0,2.0,100,3,11,78.0,t,1
t,Yarra Ranges,Australia,-37.89747794,145.3269849,Private room,2,1.0,1.0,1.0,65,1,26,98.0,t,1
t,Boroondara,Australia,-37.83549232,145.0962347,Entire home/apt,6,1.0,2.0,3.0,138,3,29,98.0,f,1
f,Glen Eira,Australia,-37.89427884,145.0211271,Private room,2,1.0,1.0,1.0,150,5,12,98.0,t,2
f,Stonnington,Australia,-37.83881871,144.990853,Entire home/apt,2,1.0,1.0,1.0,120,5,2,100.0,t,1
